sampleID,phenotype,file_name,G1_amplitude,G1_sigma,G2_amplitude,G2_sigma,G3_amplitude,G3_sigma,Baysian Information Criterion,Total dip depth,Intercept,Total dip area (AOC combined model),region-set,is control,Dip area: z-score vs controls in same region set,Dip area: Prediction interval of controls,Dip area: interpretation vs controls in same region set,Dip depth: z-score vs controls in same region set,Dip depth: Prediction interval of controls,Dip depth: interpretation vs controls in same region set,ref_genome,settings
LP0030_03_L004,healthy_control,/Users/ivna/00_projects/AACR/LIQUORICE/0memhg38/False40/summary_across_samples_and_ROIS.csv,-24.11552084,149,-111.8983202,758,-267.8388445,6078.005713,-847.8990814,0.141041719,0.00691157,-408.3823957,hematopoietic_specific_liquorice_hg38,healthy_control,0.78,(-676.4586241629164;-280.6251143385373),N/A,-0.14,(0.06284081006821898;0.2302263812186002),N/A,0memhg38,False40
LP0030_05_L004,healthy_control,/Users/ivna/00_projects/AACR/LIQUORICE/0memhg38/False40/summary_across_samples_and_ROIS.csv,-21.39218679,149,-169.1829675,758,-419.9731125,6078.012627,-808.5047256,0.17388513,0.011678695,-615.0103841,hematopoietic_specific_liquorice_hg38,healthy_control,-1.51,(-676.4586241629164;-280.6251143385373),N/A,0.72,(0.06284081006821898;0.2302263812186002),N/A,0memhg38,False40
LP0025_01_L004,healthy_control,/Users/ivna/00_projects/AACR/LIQUORICE/0memhg38/FalseDI1230XA/summary_across_samples_and_ROIS.csv,-27.55738754,149,-125.9418889,758,-409.3498265,6078.001548,-852.7819583,0.166936835,0.010793336,-567.8944315,hematopoietic_specific_liquorice_hg38,healthy_control,-0.99,(-675.5938390460229;-281.6501680438864),N/A,0.68,(0.05519782686216773;0.22566692581832726),N/A,0memhg38,FalseDI1230XA
LP0025_02_L004,healthy_control,/Users/ivna/00_projects/AACR/LIQUORICE/0memhg38/FalseDI1230XA/summary_across_samples_and_ROIS.csv,17.56181457,150,-89.7783844,757.9999999,-478.7948424,6078.033271,-795.5090286,0.031970043,0.011480439,-548.563488,hematopoietic_specific_liquorice_hg38,healthy_control,-0.78,(-675.5938390460229;-281.6501680438864),N/A,-2.79,(0.05519782686216773;0.22566692581832726),N/A,0memhg38,FalseDI1230XA
LP0025_03_L003,healthy_control,/Users/ivna/00_projects/AACR/LIQUORICE/0memhg38/FalseDI1230XA/summary_across_samples_and_ROIS.csv,-26.67501368,149,-119.4943817,757.9999999,-385.823892,6078.004018,-709.3087678,0.159636744,0.010124099,-536.8662449,hematopoietic_specific_liquorice_hg38,healthy_control,-0.65,(-675.5938390460229;-281.6501680438864),N/A,0.49,(0.05519782686216773;0.22566692581832726),N/A,0memhg38,FalseDI1230XA
LP0025_04_L004,healthy_control,/Users/ivna/00_projects/AACR/LIQUORICE/0memhg38/FalseDI1230XA/summary_across_samples_and_ROIS.csv,-16.72158516,149,-98.504113,758,-303.6331213,6078.002172,-834.7823217,0.116544663,0.007577821,-422.0630809,hematopoietic_specific_liquorice_hg38,healthy_control,0.63,(-675.5938390460229;-281.6501680438864),N/A,-0.61,(0.05519782686216773;0.22566692581832726),N/A,0memhg38,FalseDI1230XA
LP0025_05_L003,lung_cancer,/Users/ivna/00_projects/AACR/LIQUORICE/0memhg38/FalseDI1230XA/summary_across_samples_and_ROIS.csv,-3.504125998,149,-80.00825803,758,-398.9477791,6078.000057,-666.0202476,0.077677025,0.009806603,-483.3108765,hematopoietic_specific_liquorice_hg38,lung_cancer,-0.05,(-675.5938390460229;-281.6501680438864),n.s.,-1.61,(0.05519782686216773;0.22566692581832726),n.s.,0memhg38,FalseDI1230XA
LP0025_06_L003,lung_cancer,/Users/ivna/00_projects/AACR/LIQUORICE/0memhg38/FalseDI1230XA/summary_across_samples_and_ROIS.csv,-15.53761625,149,-108.5779367,758,-175.5491962,6078.025292,-756.6381938,0.110269474,0.004500625,-302.9158412,hematopoietic_specific_liquorice_hg38,lung_cancer,1.96,(-675.5938390460229;-281.6501680438864),n.s.,-0.78,(0.05519782686216773;0.22566692581832726),n.s.,0memhg38,FalseDI1230XA
LP0025_07_L004,healthy_control,/Users/ivna/00_projects/AACR/LIQUORICE/0memhg38/FalseDI1230XA/summary_across_samples_and_ROIS.csv,-21.57858774,149,-101.8224053,758,-239.2621885,6078.005356,-827.353483,0.127070437,0.006131396,-366.7324201,hematopoietic_specific_liquorice_hg38,healthy_control,1.25,(-675.5938390460229;-281.6501680438864),N/A,-0.34,(0.05519782686216773;0.22566692581832726),N/A,0memhg38,FalseDI1230XA
LP0025_08_L004,healthy_control,/Users/ivna/00_projects/AACR/LIQUORICE/0memhg38/FalseDI1230XA/summary_across_samples_and_ROIS.csv,-29.10415965,149,-94.32482241,758,-228.8847225,6078.027997,-785.6046334,0.142592645,0.005525849,-357.5089013,hematopoietic_specific_liquorice_hg38,healthy_control,1.35,(-675.5938390460229;-281.6501680438864),N/A,0.06,(0.05519782686216773;0.22566692581832726),N/A,0memhg38,FalseDI1230XA
LP0025_10_L003,lung_cancer,/Users/ivna/00_projects/AACR/LIQUORICE/0memhg38/FalseDI1230XA/summary_across_samples_and_ROIS.csv,-12.29105765,150,12.10482318,758,-44.38653368,6078.000002,-833.4889687,0.02923201,-8.70E-04,-46.33732215,hematopoietic_specific_liquorice_hg38,lung_cancer,4.81,(-675.5938390460229;-281.6501680438864),Significantly weaker coverage drop,-2.86,(0.05519782686216773;0.22566692581832726),Significantly weaker coverage drop,0memhg38,FalseDI1230XA
LP0025_11_L003,lung_cancer,/Users/ivna/00_projects/AACR/LIQUORICE/0memhg38/FalseDI1230XA/summary_across_samples_and_ROIS.csv,-32.63741279,149,-79.78626946,758,-211.0381732,6078.000014,-783.0539963,0.143229707,0.004889287,-329.0984779,hematopoietic_specific_liquorice_hg38,lung_cancer,1.66,(-675.5938390460229;-281.6501680438864),n.s.,0.07,(0.05519782686216773;0.22566692581832726),n.s.,0memhg38,FalseDI1230XA
LP0025_12_L003,lung_cancer,/Users/ivna/00_projects/AACR/LIQUORICE/0memhg38/FalseDI1230XA/summary_across_samples_and_ROIS.csv,-30.45908214,149,-123.2448787,757,-239.9570348,6078.003447,-781.2072807,0.162253793,0.007067939,-399.3277539,hematopoietic_specific_liquorice_hg38,lung_cancer,0.88,(-675.5938390460229;-281.6501680438864),n.s.,0.56,(0.05519782686216773;0.22566692581832726),n.s.,0memhg38,FalseDI1230XA
LP0025_15_L003,lung_cancer,/Users/ivna/00_projects/AACR/LIQUORICE/0memhg38/FalseDI1230XA/summary_across_samples_and_ROIS.csv,-26.47836126,149,-94.10412713,758,-199.9081219,6078.996864,-823.5023999,0.133541985,0.005218308,-325.3021214,hematopoietic_specific_liquorice_hg38,lung_cancer,1.71,(-675.5938390460229;-281.6501680438864),n.s.,-0.18,(0.05519782686216773;0.22566692581832726),n.s.,0memhg38,FalseDI1230XA
LP0025_17_L003,lung_cancer,/Users/ivna/00_projects/AACR/LIQUORICE/0memhg38/FalseDI1230XA/summary_across_samples_and_ROIS.csv,-30.77015174,149,-165.7806506,758,-399.4157659,6078.000015,-809.1778879,0.195854366,0.011607873,-601.8948668,hematopoietic_specific_liquorice_hg38,lung_cancer,-1.37,(-675.5938390460229;-281.6501680438864),n.s.,1.43,(0.05519782686216773;0.22566692581832726),n.s.,0memhg38,FalseDI1230XA
LP0025_21_L004,lung_cancer,/Users/ivna/00_projects/AACR/LIQUORICE/0memhg38/FalseDI1230XA/summary_across_samples_and_ROIS.csv,-35.2287245,149,-101.2077522,758,-237.3849698,6078.000081,-790.8304656,0.163171503,0.0063942,-380.0339906,hematopoietic_specific_liquorice_hg38,lung_cancer,1.1,(-675.5938390460229;-281.6501680438864),n.s.,0.59,(0.05519782686216773;0.22566692581832726),n.s.,0memhg38,FalseDI1230XA
LP0025_24_L003,lung_cancer,/Users/ivna/00_projects/AACR/LIQUORICE/0memhg38/FalseDI1230XA/summary_across_samples_and_ROIS.csv,-25.59197232,149,-65.48597697,758,-299.9516526,6078.009639,-779.7423092,0.122675404,0.007090869,-395.3290483,hematopoietic_specific_liquorice_hg38,lung_cancer,0.93,(-675.5938390460229;-281.6501680438864),n.s.,-0.46,(0.05519782686216773;0.22566692581832726),n.s.,0memhg38,FalseDI1230XA
LP0026_05_L003,lung_cancer,/Users/ivna/00_projects/AACR/LIQUORICE/0memhg38/FalseDI1230XA/summary_across_samples_and_ROIS.csv,-13.8613835,149.0000001,-87.48829206,757,-65.68954375,6078.009087,-836.4766641,0.087531747,0.001482925,-169.955927,hematopoietic_specific_liquorice_hg38,lung_cancer,3.44,(-675.5938390460229;-281.6501680438864),Significantly weaker coverage drop,-1.36,(0.05519782686216773;0.22566692581832726),n.s.,0memhg38,FalseDI1230XA
LP0026_07_L003,lung_cancer,/Users/ivna/00_projects/AACR/LIQUORICE/0memhg38/FalseDI1230XA/summary_across_samples_and_ROIS.csv,-18.97752078,149,-168.7388179,758,-261.8065891,6078.014765,-829.7751888,0.156804609,0.008219272,-453.7744404,hematopoietic_specific_liquorice_hg38,lung_cancer,0.28,(-675.5938390460229;-281.6501680438864),n.s.,0.42,(0.05519782686216773;0.22566692581832726),n.s.,0memhg38,FalseDI1230XA
LP0026_08_L003,lung_cancer,/Users/ivna/00_projects/AACR/LIQUORICE/0memhg38/FalseDI1230XA/summary_across_samples_and_ROIS.csv,-18.32068866,149,-78.85697734,757.9999988,-204.9156804,6078,-771.021919,0.104006221,0.005040247,-305.4763731,hematopoietic_specific_liquorice_hg38,lung_cancer,1.93,(-675.5938390460229;-281.6501680438864),n.s.,-0.94,(0.05519782686216773;0.22566692581832726),n.s.,0memhg38,FalseDI1230XA
LP0026_22_L003,lung_cancer,/Users/ivna/00_projects/AACR/LIQUORICE/0memhg38/FalseDI1230XA/summary_across_samples_and_ROIS.csv,-10.17941687,149,-147.3472162,758,-199.5064071,6078.031664,-769.7013519,0.117900169,0.00622497,-359.7720761,hematopoietic_specific_liquorice_hg38,lung_cancer,1.32,(-675.5938390460229;-281.6501680438864),n.s.,-0.58,(0.05519782686216773;0.22566692581832726),n.s.,0memhg38,FalseDI1230XA
LP0026_26_L004,lung_cancer,/Users/ivna/00_projects/AACR/LIQUORICE/0memhg38/FalseDI1230XA/summary_across_samples_and_ROIS.csv,-1.292249249,149,-45.91151466,758,-129.7772789,6078.017759,-903.7266708,0.03614178,0.002649539,-177.4648103,hematopoietic_specific_liquorice_hg38,lung_cancer,3.35,(-675.5938390460229;-281.6501680438864),Significantly weaker coverage drop,-2.68,(0.05519782686216773;0.22566692581832726),Significantly weaker coverage drop,0memhg38,FalseDI1230XA
LP0026_38_L004,lung_cancer,/Users/ivna/00_projects/AACR/LIQUORICE/0memhg38/FalseDI1230XA/summary_across_samples_and_ROIS.csv,-13.33768877,149,-75.92213979,758,-183.153053,6078.02484,-752.8568284,0.087691296,0.004328048,-275.0089879,hematopoietic_specific_liquorice_hg38,lung_cancer,2.27,(-675.5938390460229;-281.6501680438864),Significantly weaker coverage drop,-1.36,(0.05519782686216773;0.22566692581832726),n.s.,0memhg38,FalseDI1230XA
LP0026_42_L004,lung_cancer,/Users/ivna/00_projects/AACR/LIQUORICE/0memhg38/FalseDI1230XA/summary_across_samples_and_ROIS.csv,-15.00875843,149,-88.3830232,758,-83.77221686,6078.059324,-724.1616227,0.092200728,0.001860408,-190.2465197,hematopoietic_specific_liquorice_hg38,lung_cancer,3.21,(-675.5938390460229;-281.6501680438864),Significantly weaker coverage drop,-1.24,(0.05519782686216773;0.22566692581832726),n.s.,0memhg38,FalseDI1230XA
LP0027_26_L003,lung_cancer,/Users/ivna/00_projects/AACR/LIQUORICE/0memhg38/FalseDI1230XA/summary_across_samples_and_ROIS.csv,-8.855644722,150,-59.41599307,758,-267.5018023,6078.007655,-742.3940316,0.072381807,0.006469142,-337.4141034,hematopoietic_specific_liquorice_hg38,lung_cancer,1.57,(-675.5938390460229;-281.6501680438864),n.s.,-1.75,(0.05519782686216773;0.22566692581832726),n.s.,0memhg38,FalseDI1230XA
LP0027_35_L003,lung_cancer,/Users/ivna/00_projects/AACR/LIQUORICE/0memhg38/FalseDI1230XA/summary_across_samples_and_ROIS.csv,-17.34585917,149,-90.06474185,758,-352.0120125,6078.000003,-743.615304,0.116949874,0.008885189,-462.5943684,hematopoietic_specific_liquorice_hg38,lung_cancer,0.18,(-675.5938390460229;-281.6501680438864),n.s.,-0.6,(0.05519782686216773;0.22566692581832726),n.s.,0memhg38,FalseDI1230XA
LP0027_39_L003,lung_cancer,/Users/ivna/00_projects/AACR/LIQUORICE/0memhg38/FalseDI1230XA/summary_across_samples_and_ROIS.csv,-23.60381092,150,-73.58520812,757,-405.3016788,6078.012933,-699.4385656,0.128159554,0.009916841,-506.4228052,hematopoietic_specific_liquorice_hg38,lung_cancer,-0.31,(-675.5938390460229;-281.6501680438864),n.s.,-0.32,(0.05519782686216773;0.22566692581832726),n.s.,0memhg38,FalseDI1230XA
LP0028_01_L004,lung_cancer,/Users/ivna/00_projects/AACR/LIQUORICE/0memhg38/FalseDI1230XA/summary_across_samples_and_ROIS.csv,-22.07504954,149,-89.39420635,758,-247.1831917,6078.999642,-774.575858,0.122375879,0.006110961,-362.6761514,hematopoietic_specific_liquorice_hg38,lung_cancer,1.29,(-675.5938390460229;-281.6501680438864),n.s.,-0.46,(0.05519782686216773;0.22566692581832726),n.s.,0memhg38,FalseDI1230XA
LP0029_02_L004,healthy_control,/Users/ivna/00_projects/AACR/LIQUORICE/0memhg38/FalseDI1230XA/summary_across_samples_and_ROIS.csv,-31.98139262,149,-118.3348679,758,-397.6765239,6078.021814,-734.8840006,0.174012021,0.010336848,-553.6766599,hematopoietic_specific_liquorice_hg38,healthy_control,-0.84,(-675.5938390460229;-281.6501680438864),N/A,0.86,(0.05519782686216773;0.22566692581832726),N/A,0memhg38,FalseDI1230XA
LP0029_04_L003,healthy_control,/Users/ivna/00_projects/AACR/LIQUORICE/0memhg38/FalseDI1230XA/summary_across_samples_and_ROIS.csv,-27.12479464,149,-90.96063608,758,-295.8841653,6078.044746,-706.1695342,0.139919938,0.007472492,-418.7490953,hematopoietic_specific_liquorice_hg38,healthy_control,0.67,(-675.5938390460229;-281.6501680438864),N/A,-0.01,(0.05519782686216773;0.22566692581832726),N/A,0memhg38,FalseDI1230XA
LP0029_05_L004,healthy_control,/Users/ivna/00_projects/AACR/LIQUORICE/0memhg38/FalseDI1230XA/summary_across_samples_and_ROIS.csv,-32.1406061,149,-134.1462505,758,-231.0066439,6078.039156,-754.3309165,0.171820253,0.006555724,-403.3305628,hematopoietic_specific_liquorice_hg38,healthy_control,0.84,(-675.5938390460229;-281.6501680438864),N/A,0.81,(0.05519782686216773;0.22566692581832726),N/A,0memhg38,FalseDI1230XA
LP0029_06_L003,healthy_control,/Users/ivna/00_projects/AACR/LIQUORICE/0memhg38/FalseDI1230XA/summary_across_samples_and_ROIS.csv,-26.81885464,149,-104.6342828,757.0000002,-409.4613461,6078.999989,-701.9207776,0.153820705,0.010964731,-545.6501641,hematopoietic_specific_liquorice_hg38,healthy_control,-0.75,(-675.5938390460229;-281.6501680438864),N/A,0.34,(0.05519782686216773;0.22566692581832726),N/A,0memhg38,FalseDI1230XA
LP0030_03_L004,healthy_control,/Users/ivna/00_projects/AACR/LIQUORICE/0memhg38/FalseDI1230XA/summary_across_samples_and_ROIS.csv,-22.04745553,149,-108.4067964,758,-275.181548,6078.014361,-847.7098349,0.134148853,0.007118944,-409.8000492,hematopoietic_specific_liquorice_hg38,healthy_control,0.77,(-675.5938390460229;-281.6501680438864),N/A,-0.16,(0.05519782686216773;0.22566692581832726),N/A,0memhg38,FalseDI1230XA
LP0030_05_L004,healthy_control,/Users/ivna/00_projects/AACR/LIQUORICE/0memhg38/FalseDI1230XA/summary_across_samples_and_ROIS.csv,-18.39260654,149,-170.9001898,758,-419.3292942,6078.014851,-800.7436054,0.16671538,0.011969367,-612.6289445,hematopoietic_specific_liquorice_hg38,healthy_control,-1.49,(-675.5938390460229;-281.6501680438864),N/A,0.68,(0.05519782686216773;0.22566692581832726),N/A,0memhg38,FalseDI1230XA
LP0025_01_L004,healthy_control,/Users/ivna/00_projects/AACR/LIQUORICE/0memhg38/FalseDI26830XA/summary_across_samples_and_ROIS.csv,-27.95538365,149,-125.9105482,758,-404.7769796,6078.003427,-853.0755747,0.167685804,0.010664668,-563.7555563,hematopoietic_specific_liquorice_hg38,healthy_control,-0.96,(-675.1293825175285;-277.7828758727986),N/A,0.68,(0.055573729837936986;0.2267132632413628),N/A,0memhg38,FalseDI26830XA
LP0025_02_L004,healthy_control,/Users/ivna/00_projects/AACR/LIQUORICE/0memhg38/FalseDI26830XA/summary_across_samples_and_ROIS.csv,17.43972744,150,-90.34965277,757.9999999,-474.9329198,6078.037839,-795.2125302,0.032341904,0.011385043,-545.4235238,hematopoietic_specific_liquorice_hg38,healthy_control,-0.76,(-675.1293825175285;-277.7828758727986),N/A,-2.79,(0.055573729837936986;0.2267132632413628),N/A,0memhg38,FalseDI26830XA
LP0025_03_L003,healthy_control,/Users/ivna/00_projects/AACR/LIQUORICE/0memhg38/FalseDI26830XA/summary_across_samples_and_ROIS.csv,-26.14554029,149,-119.7733693,757.9999999,-388.3000679,6078.017907,-709.7602167,0.158528402,0.010423637,-539.0085037,hematopoietic_specific_liquorice_hg38,healthy_control,-0.69,(-675.1293825175285;-277.7828758727986),N/A,0.45,(0.055573729837936986;0.2267132632413628),N/A,0memhg38,FalseDI26830XA
LP0025_04_L004,healthy_control,/Users/ivna/00_projects/AACR/LIQUORICE/0memhg38/FalseDI26830XA/summary_across_samples_and_ROIS.csv,-16.81095041,149,-99.87535202,758,-294.9080428,6078.004952,-833.7951261,0.116932933,0.007345164,-414.8348426,hematopoietic_specific_liquorice_hg38,healthy_control,0.68,(-675.1293825175285;-277.7828758727986),N/A,-0.62,(0.055573729837936986;0.2267132632413628),N/A,0memhg38,FalseDI26830XA
LP0025_05_L003,lung_cancer,/Users/ivna/00_projects/AACR/LIQUORICE/0memhg38/FalseDI26830XA/summary_across_samples_and_ROIS.csv,-4.562633513,149,-80.49550416,758,-395.3598755,6078.000014,-667.0482923,0.080532085,0.009821245,-481.4436258,hematopoietic_specific_liquorice_hg38,lung_cancer,-0.06,(-675.1293825175285;-277.7828758727986),n.s.,-1.55,(0.055573729837936986;0.2267132632413628),n.s.,0memhg38,FalseDI26830XA
LP0025_06_L003,lung_cancer,/Users/ivna/00_projects/AACR/LIQUORICE/0memhg38/FalseDI26830XA/summary_across_samples_and_ROIS.csv,-15.99230105,149,-105.3172392,757.9999919,-192.2028909,6078.010322,-757.0404278,0.110863869,0.00496824,-316.7867785,hematopoietic_specific_liquorice_hg38,lung_cancer,1.76,(-675.1293825175285;-277.7828758727986),n.s.,-0.78,(0.055573729837936986;0.2267132632413628),n.s.,0memhg38,FalseDI26830XA
LP0025_07_L004,healthy_control,/Users/ivna/00_projects/AACR/LIQUORICE/0memhg38/FalseDI26830XA/summary_across_samples_and_ROIS.csv,-21.91939953,149,-100.854886,758,-235.2116698,6078.009881,-828.3119351,0.127207859,0.005843675,-362.1043245,hematopoietic_specific_liquorice_hg38,healthy_control,1.26,(-675.1293825175285;-277.7828758727986),N/A,-0.36,(0.055573729837936986;0.2267132632413628),N/A,0memhg38,FalseDI26830XA
LP0025_08_L004,healthy_control,/Users/ivna/00_projects/AACR/LIQUORICE/0memhg38/FalseDI26830XA/summary_across_samples_and_ROIS.csv,-29.08201451,149,-96.3425225,758,-217.8627745,6078.041395,-781.8806801,0.142871809,0.005370849,-348.5096699,hematopoietic_specific_liquorice_hg38,healthy_control,1.41,(-675.1293825175285;-277.7828758727986),N/A,0.04,(0.055573729837936986;0.2267132632413628),N/A,0memhg38,FalseDI26830XA
LP0025_10_L003,lung_cancer,/Users/ivna/00_projects/AACR/LIQUORICE/0memhg38/FalseDI26830XA/summary_across_samples_and_ROIS.csv,-13.23170342,149.9999727,11.80443901,758,-43.77338109,6078.000003,-832.0579589,0.031851622,-9.26E-04,-47.11592997,hematopoietic_specific_liquorice_hg38,lung_cancer,4.74,(-675.1293825175285;-277.7828758727986),Significantly weaker coverage drop,-2.8,(0.055573729837936986;0.2267132632413628),Significantly weaker coverage drop,0memhg38,FalseDI26830XA
LP0025_11_L003,lung_cancer,/Users/ivna/00_projects/AACR/LIQUORICE/0memhg38/FalseDI26830XA/summary_across_samples_and_ROIS.csv,-33.0012829,149.0000103,-78.4041389,758,-215.8761676,6078.000001,-784.3257446,0.143794075,0.00508395,-332.9574169,hematopoietic_specific_liquorice_hg38,lung_cancer,1.58,(-675.1293825175285;-277.7828758727986),n.s.,0.07,(0.055573729837936986;0.2267132632413628),n.s.,0memhg38,FalseDI26830XA
LP0025_12_L003,lung_cancer,/Users/ivna/00_projects/AACR/LIQUORICE/0memhg38/FalseDI26830XA/summary_across_samples_and_ROIS.csv,-30.7123781,149.0000016,-122.8875189,757,-238.5913128,6078.001961,-782.024742,0.162654015,0.00714236,-397.8960009,hematopoietic_specific_liquorice_hg38,lung_cancer,0.87,(-675.1293825175285;-277.7828758727986),n.s.,0.55,(0.055573729837936986;0.2267132632413628),n.s.,0memhg38,FalseDI26830XA
LP0025_15_L003,lung_cancer,/Users/ivna/00_projects/AACR/LIQUORICE/0memhg38/FalseDI26830XA/summary_across_samples_and_ROIS.csv,-26.54153586,149,-94.72401388,758,-201.3806249,6078.994678,-821.2089488,0.134134024,0.005296164,-327.4717137,hematopoietic_specific_liquorice_hg38,lung_cancer,1.64,(-675.1293825175285;-277.7828758727986),n.s.,-0.18,(0.055573729837936986;0.2267132632413628),n.s.,0memhg38,FalseDI26830XA
LP0025_17_L003,lung_cancer,/Users/ivna/00_projects/AACR/LIQUORICE/0memhg38/FalseDI26830XA/summary_across_samples_and_ROIS.csv,-31.54373611,149,-165.0407304,758,-401.6081303,6078.000021,-809.7369142,0.197680085,0.011825185,-604.2333518,hematopoietic_specific_liquorice_hg38,lung_cancer,-1.41,(-675.1293825175285;-277.7828758727986),n.s.,1.45,(0.055573729837936986;0.2267132632413628),n.s.,0memhg38,FalseDI26830XA
LP0025_21_L004,lung_cancer,/Users/ivna/00_projects/AACR/LIQUORICE/0memhg38/FalseDI26830XA/summary_across_samples_and_ROIS.csv,-35.60031714,149,-101.5610784,758,-240.4176807,6078.000001,-789.7490918,0.164551446,0.006688545,-383.8499956,hematopoietic_specific_liquorice_hg38,lung_cancer,1.02,(-675.1293825175285;-277.7828758727986),n.s.,0.6,(0.055573729837936986;0.2267132632413628),n.s.,0memhg38,FalseDI26830XA
LP0025_24_L003,lung_cancer,/Users/ivna/00_projects/AACR/LIQUORICE/0memhg38/FalseDI26830XA/summary_across_samples_and_ROIS.csv,-24.89417933,149,-68.05994367,758,-290.6627915,6078.024856,-780.6134166,0.121552049,0.006986094,-387.8404752,hematopoietic_specific_liquorice_hg38,lung_cancer,0.98,(-675.1293825175285;-277.7828758727986),n.s.,-0.5,(0.055573729837936986;0.2267132632413628),n.s.,0memhg38,FalseDI26830XA
LP0026_05_L003,lung_cancer,/Users/ivna/00_projects/AACR/LIQUORICE/0memhg38/FalseDI26830XA/summary_across_samples_and_ROIS.csv,-14.3919296,149,-87.7291174,757,-67.05513641,6078.013275,-837.5311499,0.089168812,0.00143632,-172.1770649,hematopoietic_specific_liquorice_hg38,lung_cancer,3.36,(-675.1293825175285;-277.7828758727986),Significantly weaker coverage drop,-1.33,(0.055573729837936986;0.2267132632413628),n.s.,0memhg38,FalseDI26830XA
LP0026_07_L003,lung_cancer,/Users/ivna/00_projects/AACR/LIQUORICE/0memhg38/FalseDI26830XA/summary_across_samples_and_ROIS.csv,-20.18869977,149,-166.843913,758,-255.0037812,6078.015005,-829.4740737,0.158603677,0.007871496,-446.4684085,hematopoietic_specific_liquorice_hg38,lung_cancer,0.33,(-675.1293825175285;-277.7828758727986),n.s.,0.45,(0.055573729837936986;0.2267132632413628),n.s.,0memhg38,FalseDI26830XA
LP0026_08_L003,lung_cancer,/Users/ivna/00_projects/AACR/LIQUORICE/0memhg38/FalseDI26830XA/summary_across_samples_and_ROIS.csv,-18.14279823,149,-79.1801798,757.9999988,-204.9314453,6079,-769.1464652,0.103698852,0.005146149,-305.611996,hematopoietic_specific_liquorice_hg38,lung_cancer,1.89,(-675.1293825175285;-277.7828758727986),n.s.,-0.96,(0.055573729837936986;0.2267132632413628),n.s.,0memhg38,FalseDI26830XA
LP0026_22_L003,lung_cancer,/Users/ivna/00_projects/AACR/LIQUORICE/0memhg38/FalseDI26830XA/summary_across_samples_and_ROIS.csv,-10.50800673,149,-147.6214334,758,-194.4879412,6078.017572,-768.9712806,0.118594913,0.006126352,-355.4161264,hematopoietic_specific_liquorice_hg38,lung_cancer,1.34,(-675.1293825175285;-277.7828758727986),n.s.,-0.58,(0.055573729837936986;0.2267132632413628),n.s.,0memhg38,FalseDI26830XA
LP0026_26_L004,lung_cancer,/Users/ivna/00_projects/AACR/LIQUORICE/0memhg38/FalseDI26830XA/summary_across_samples_and_ROIS.csv,-1.633727302,149,-44.53511284,758,-131.5842182,6078.007135,-903.0385062,0.03645028,0.002714036,-178.2758854,hematopoietic_specific_liquorice_hg38,lung_cancer,3.29,(-675.1293825175285;-277.7828758727986),Significantly weaker coverage drop,-2.68,(0.055573729837936986;0.2267132632413628),Significantly weaker coverage drop,0memhg38,FalseDI26830XA
LP0026_38_L004,lung_cancer,/Users/ivna/00_projects/AACR/LIQUORICE/0memhg38/FalseDI26830XA/summary_across_samples_and_ROIS.csv,-13.48854437,149,-75.22330154,758,-178.9190918,6078.02276,-755.0952086,0.087449502,0.004125694,-270.2489758,hematopoietic_specific_liquorice_hg38,lung_cancer,2.28,(-675.1293825175285;-277.7828758727986),Significantly weaker coverage drop,-1.38,(0.055573729837936986;0.2267132632413628),n.s.,0memhg38,FalseDI26830XA
LP0026_42_L004,lung_cancer,/Users/ivna/00_projects/AACR/LIQUORICE/0memhg38/FalseDI26830XA/summary_across_samples_and_ROIS.csv,-15.80736483,149,-85.45246094,758,-93.65106391,6078.049689,-724.1745977,0.09344501,0.002155398,-198.0812148,hematopoietic_specific_liquorice_hg38,lung_cancer,3.07,(-675.1293825175285;-277.7828758727986),Significantly weaker coverage drop,-1.22,(0.055573729837936986;0.2267132632413628),n.s.,0memhg38,FalseDI26830XA
LP0027_26_L003,lung_cancer,/Users/ivna/00_projects/AACR/LIQUORICE/0memhg38/FalseDI26830XA/summary_across_samples_and_ROIS.csv,-9.865749462,150,-58.67402029,758,-266.3297334,6078.029038,-743.7133099,0.074600798,0.006356452,-336.6627767,hematopoietic_specific_liquorice_hg38,lung_cancer,1.54,(-675.1293825175285;-277.7828758727986),n.s.,-1.71,(0.055573729837936986;0.2267132632413628),n.s.,0memhg38,FalseDI26830XA
LP0027_35_L003,lung_cancer,/Users/ivna/00_projects/AACR/LIQUORICE/0memhg38/FalseDI26830XA/summary_across_samples_and_ROIS.csv,-17.03719423,149,-91.5810381,758,-348.4787013,6078.000003,-744.080943,0.116689559,0.008771685,-460.2379719,hematopoietic_specific_liquorice_hg38,lung_cancer,0.18,(-675.1293825175285;-277.7828758727986),n.s.,-0.63,(0.055573729837936986;0.2267132632413628),n.s.,0memhg38,FalseDI26830XA
LP0027_39_L003,lung_cancer,/Users/ivna/00_projects/AACR/LIQUORICE/0memhg38/FalseDI26830XA/summary_across_samples_and_ROIS.csv,-24.16689002,150,-71.43054317,757,-404.1618115,6078.014529,-699.8890587,0.128446785,0.009684986,-503.7608575,hematopoietic_specific_liquorice_hg38,lung_cancer,-0.3,(-675.1293825175285;-277.7828758727986),n.s.,-0.33,(0.055573729837936986;0.2267132632413628),n.s.,0memhg38,FalseDI26830XA
